"policy_area","series_name","description","overview","age","disability","ethnicity","gender","religion","sexualOrientation","transgender","socioEconomicStatus"
"Summary","Which Ethnic Groups Have the Poorest Health","This report examines differences in the health of ethnic groups in Scotland and uses census health data to identify variations between groups.  The analysis employs age-standardised rates to compare people of similar age, which avoids the often misleading direct comparisons between populations with very different age structures.",1,,,,,,,,
"Summary","Gypsies/Travellers in Scotland Summary","The Scottish Government has brought together evidence on Gypsies/Travellers from a range of existing sources to make it easier for users and policy makers to access and understand.  This evidence summary is presented in the following paper",1,,,,,,,,
"Summary","Sex and Power","The report displays percentages of women in positions of power across politics, law, education and health, arts and media, business and civil society and more, and analyses the realities behind these figures. It finds that while the picture is changing, the pace of change remains slow.


",,,,,1,,,,
"Third Sector","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Third Sector","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Third Sector","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Third Sector","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Third Sector","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Third Sector","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Third Sector","The Opportunities and Challenges of the Changing Public Services Landscape for the Third Sector in Scotland: A Longitudinal Study","A 3 year qualitative longitudinal study using case studies and focus groups to track the way in which a selection of third sector organisations ( TSOs) responded to the changing opportunities and challenges over a period of three years starting from 2009/2010.",1,,,,,,,,
"Third Sector","Third Sector approaches to bridging the distance from the employment market for people with Multiple and Complex Needs","An evidence review on how third sector organisations engage with people who face multiple and complex needs and bridge their distance from the employment market.",1,,1,,,,,,
"Transport and Travel","Life in Scotland for LGBT Young People","Analysis from a survey of LGBT young people in Scotland, covering homophobia, biphobia, and transphobia, discrimination, hate crime, transport, education, health and work.",,,,,,,1,1,
"Transport and Travel","Scottish Government Equality Outcomes: Age Evidence Review","A comprehensive review of available evidence in relation to age equality.",,2,,,,,,,
"Transport and Travel","Scottish Government Equality Outcomes: Disability Evidence Review","A comprehensive review of available evidence in relation to disability.",,,2,,,,,,
"Transport and Travel","Scottish Government Equality Outcomes: Ethnicity Evidence Review","A comprehensive review of available evidence in relation to ethnicity.",,,,2,,,,,
"Transport and Travel","Scottish Government Equality Outcomes: Gender Evidence Review","A comprehensive review of available evidence in relation to gender",,,,,2,,,,
"Transport and Travel","Scottish Government Equality Outcomes: Lesbian, Gay, Bisexual and Transgender (LGBT) Evidence Review","A comprehensive review of available evidence in relation to sexual orientation and transgender people",,,,,,,2,2,
"Transport and Travel","Scottish Government Equality Outcomes: Religion and Belief Evidence Review","A comprehensive review of available evidence in relation to religion",,,,,,2,,,
"Transport and Travel","Scottish Transport Statistics","This publication presents a comprehensive statistical picture of transport activity and covers a wide range of topics. Statistics are available for age and gender",1,1,1,,1,,,,
"Transport and Travel","Transport and Travel in Scotland","This bulletin provides the results of the Transport and travel related questions asked in the Scottish Household Survey, including information from the travel diary, and uses data from a range of other sources to provide some context around transport and travel in Scotland. Statistics are broken down by age and gender",1,1,1,,1,,,,
"Transport and Travel","Reported Road Casualties Scotland","This publication presents detailed statistics about the circumstances of personal injury road accidents in Scotland that were reported by the police. Statistics are broken down by age and gender",1,1,,,1,,,,
"Transport and Travel","High Level Summary of Equality Statistics","The High Level Summary of Equality Statistics is a compendium which presents statistical trends on the main areas of Government activity in Scotland across a number of equality dimensions including age, disability, ethnicity, gender and in some cases religion",1,1,1,1,1,1,,,
"Transport and Travel","National Transport Strategy: User Consultation","As part of the National Transport Strategy consultation process research was undertaken to understand the views of transport users within ""hard to reach"" audiences. The main highlights are presented in the research findings.",1,1,1,1,1,,1,1,
"Transport and Travel","Evaluation of National Concessionary Travel in Scotland","The study considers the impact of concessionary travel on behaviour and the extent to which it had impacted positively on social inclusion, modal shift and the establishment of healthier lifestyles among particular groups.",,1,,,,,,,
"Transport and Travel","Crash Map","Interactive tool allowing users to view where crashes have occurred in the UK.",1,1,,1,,,,,
